metier_original,occurrences,traduction_fr,est_malgache
SERVICE PERSONNEL,7,SERVICE DU PERSONNEL,True
AVOCAT,7,AVOCAT,True
MANAO SALLE DE JEUX,7,Aménager une salle de jeux,True
MIVAROTRA BETSA,7,VENDRE BEAUCOUP,True
MAMBOLY CITRON,7,PLANTER DES CITRONS,True
MITRANDRAKA VOLKAMENA,7,VOLCAN MINIER,True
MIVAROTRA TSAKITSAKY,7,VENDRE DES COLLATIONS,True
MPIVAROTRA KATSAKA SY KABARO MAINA,7,REVENDEUR DE MAÏS ET KABARO SÉCHÉ,True
MPANAMBOATRA ANTSY,7,FABRICANT DE COUTEAUX,True
SECRETAIRE AMINY FOKOTANY TSARAMANDROSO,7,SECRÉTAIRE DU FOKOTANY TSARAMANDROSO,True
AGENT OPERATEUR,7,AGENT D'EXPLOITATION,True
MPANENDY PARAKY,7,ROULEAU À TABAC,True
MPIVAROTRA AMIN NY EPICERIE,7,VENDEUR À L'EPICIERIE,True
INFIRMIER GENERALISTE,7,INFIRMIÈRE GÉNÉRALE,True
RECEVEUR TAXI BE,7,GRAND RÉCEPTEUR DE TAXI,True
AGENT SECURITE,7,AGENT DE SÉCURITÉ,True
MIVAROTRA MOKARY,7,À VENDRE,True
MPANAMPY AO TRANO,7,AIDE MENAGERE,True
MIAMBINA TRANO,7,CORPS DE GARDE,True
VAROTRA HANIMASAKA,7,À VENDRE,True
MIVAROTRA HANI-MASAKA,7,VENDRE DE LA NOURRITURE,True
MACHINISTE AMIN NY ZONE FRANCHE,7,MACHINISTES EN ZONE FRANÇAISE,True
MPIVAROTRA ENTA MADINIKA,7,REVENDEUR AU DÉTAIL,True
MANTSAKA RANO,7,VERSER DE L'EAU,True
NIKAPA YLANG YLANG,7,COUPER L'YLANG-YLANG,True
MPANJONO ANDRANOMAMY,7,PÊCHEUR ANDRANOMAMIE,True
MANDAVAKA CANAL AM ANGADY,7,CREUSER UN CANAL AVEC UNE CHARRUE,True
MAMAKY HAZO,7,BRISER UN BOIS,True
MIVAROTRA LEGUIME,7,VENDRE DES LÉGUMES,True
MIBATA SY MITATITRA ENTANA,7,TRANSPORT ET TRANSPORT DE MARCHANDISES,True
NANASA LAMBA,7,LAVAGE DES VÊTEMENTS,True
CONDUCTEUR ENGIN AO AMIN'NY SEMS,7,CONDUCTEUR MOTEUR EN SEMS,True
MANOEUVRE DU BATIMENT,7,MANŒUVRE DU BATIMENT,True
MPANAMPY MPITRANDRAKA VOLAMENA,7,ASSISTANT COMMERCIAL D'OR,True
MPANAO SARAKA AN TSAHA,7,MANAGER SUR LE TERRAIN,True
MIKARAKARA FIOMPIANA,7,CHERCHE UNE FERME,True
MPISIVANA SAPHIRA,7,FILTRE SAPHIR,True
ADJOINT PRESIDENT FOKONTANY,7,VICE-PRÉSIDENT,True
MPAMPIANATRA INFORMATIQUE,7,PROFESSEUR D'INFORMATIQUE,True
MPIVAROTRA LEGUME MANDEHANDEHA,7,VENDEUR DE LÉGUMES ITINÉRANT,True
MPAMPIANATRA ENY @ EPP,7,ENSEIGNANTE À L'EPP,True
MIANNDRY OMBY,7,EN ATTENDANT UNE VACHE,True
MAMPIANATRA ANY AMIN NY ECOLE PRIVE,7,ENSEIGNER DANS UNE ÉCOLE PRIVÉE,True
MANOFA HAZO,7,A LOUER DU BOIS,True
MPIVAROTRA QUINQELLERIE,7,CONCESSIONNAIRE QUINQELLERIE,True
MIVAROTRA GARGOTTE,7,VENDRE GARGOTTE,True
MANAO MACON,7,FAIRE LE MâCON,True
MIANDRY OMBY SY MAMBOLY,7,TROUPEAU DE BÉTAIL ET DE PLANTES,True
MAHAKA SY MIVAROTRA BOZAKA,7,ACHETER ET VENDRE DE L'HERBE,True
AGENT MICRO FINANCE,7,AGENT DE MICRO FINANCE,True
MPAMBOLY SY MANAO SARAKATSAHA,7,AGRICULTEURS ET FABRICANTS,True
MANAO TRIAGE CACAO,7,TRIAGE DU CACAO,True
MAMPIANATRA AMN EPP,7,ENSEIGNER AMN EPP,True
MAMPIANATRA AMIN NY EPP,7,ENSEIGNEMENT EN EPP,True
MIVAROTRA TONGOLO,7,VENDRE TONGOLO,True
MPAMPIANATRA AMIN'NY PRIVEE,7,PROFESSEUR Particulier,True
MPITONDRA CYCLOPOUSSE,7,CONDUCTEUR DE CYCLOPOUSE,True
MPITRANDRAKA,7,ENTREPRENEURS,True
MPANERA OMBY,7,Conducteur de bétail,True
MPIANDRY OSY,7,ÉLEVEUR DE CHÈVRES,True
MANUNTATIONNAIRES(MPIASA RAIKITRA),7,MANUNTATIONNAIRES (EMPLOYÉ INSCRIT),True
MIVAROTRA FARY,7,VENDRE CANNE,True
MIVAROTRA ZAVAPISOTRO,7,VENDRE DES BOISSONS,True
MPITAONA VATO,7,COUPE-PIERRE,True
MANOEUVRE  AGRICOLE,7,MANŒUVRE AGRICOLE,True
MPIVAROTRA TOTOKENA,7,REVENDEUR AUTORISÉ,True
MPIVAROTRA RAVIKAZAHA,7,VENDEUR FEMME,True
MPAMBOLY ANANDRANO,7,AGRICULTEUR ANANDRANO,True
MAMOVO,7,FLORAISON,True
MIVAROTRA LASOPY SY COMPOSE,7,VENTE DE SOUPE ET COMPOSÉ,True
TELEOPERATRICE,7,TÉLÉOPÉRATEUR,True
MPITENDRY BATERA NY ARTISTE,7,L'ARTISTE EST UN BATTEUR,True
VENTE EN LIGNE,7,VENDU EN LIGNE,True
MPIVAROTRA LASOPY SY COMPOSE,7,REVENDEUR DE SOUPES ET COMPOSÉS,True
PLATON,7,PLATON,True
MPAMPIANATARA @ T2,7,ENSEIGNANT @ T2,True
DEVELOPPEUR INFORMATIQUE,7,DÉVELOPPEUR INFORMATIQUE,True
MPAMBOLY VARY SY LEGUME,7,PRODUCTEURS DE RIZ ET DE LÉGUMES,True
MAMBOLY VOANEMBA,7,PLANTATION DE LÉGUMES,True
MIKARAMA MANOTO FARY,7,BROYAGE DU SUCRE EN LOCATION,True
MANOTO FARY,7,BROYAGE SAIN,True
INSTITUTEURS DE L'ENSEIGNEMENT SECONDAIRE,7,INSTITUTS D'ENSEIGNEMENT SECONDAIRE,True
INSTITUTEURS DE L'ENSEIGNEMENT PREPRIMAIRE,7,INSTITUTS D’ENSEIGNEMENT PRÉ-PRIMAIRE,True
KIBAROA(MANAO INSTALLATION JIRO),7,KIBAROA (INSTALLATION DES LUMIÈRES),True
MANJAITRA SY MIVAROTRA ZAITRA,7,COUTURE ET VENTE DE COUTURE,True
C0MPTABILITE,6,COMPATIBILITÉ,True
MIVAROTRA PETROLE,6,VENDRE DU PÉTROLE,True
MIVAROTENA,6,VENTE,True
MPAMBOLY IHANY KOA FA MANAMPY NY VADINY,6,IL N'EST QU'UN AGRICULTEUR MAIS IL AIDE SA FEMME,True
MPIANDRY TANANA,6,SERVEUR DE VILLE,True
MANDRAFITRA VARAVARANA,6,FIXATION DE LA PORTE,True
MANAO SARAKA ATSAHA,6,OBTENIR SÉPARÉMENT,True
MPANAMPY FIANAKAVIANA @ FAMBOLENA VARY SY KATSAKA,6,AIDE FAMILIALE À LA PRODUCTION DE RIZ ET DE MAÏS,True
MPANAMPY @ FAMBOLENA VARY,6,ASSISTANT @ PLANTATION DE RIZ,True
MIAMBINA VOKATRA,6,GARDER LES RÉSULTATS,True
MPITARIKA POUSSE-POUSSE,6,CHAUFFEUR DE POUSSE-POUSSE,True
MANUTENTIONNAIRE,6,RESPONSABLE DE L'ENTRETIEN,True
MAMPIANATRA AMIN'ny EPP,6,ENSEIGNER EN EPP,True
"NAMBOLY VARY,OVY,KAROTY,TSARAMASO,VOMANGA",6,"JE PLANTES DU RIZ, DES POMMES DE TERRE, DES CAROTTES, DES SUCRERIES, DES POMMES DE TERRE",True
MPIASA MASINANA FITOTOAM-BARY,6,Ouvrier d'usine,True
Mpihaza produits de Mer,6,Chasseur de fruits de mer,True
MIBARA AKATA,6,MIBARA AKATA,True
MPANAO CREPE,6,CRÉPIÈRE,True
MIKARAKARA TANY LA VANILLE,6,REGARDEZ LA VANILLE,True
SECRETAIRE PERSONNELLE,6,SECRÉTAIRE DU PERSONNEL,True
MANAMBOATRA SAMBOSY,6,BÂTIMENT DE SAMBOSY,True
DEMARCHEUR AMIN'NY FITATERANA VATO SY BIRIKY SY FA,6,DEMARCHEUR POUR LE TRANSPORT DE PIERRE ET DE BRIQUES ET DE BOIS,True
MANAO FANAKA VITA @ HAZO,6,FABRIQUER DES MEUBLES EN BOIS,True
MPANARATO AO AMIN'NY PECHE EXPORT,6,PÊCHEURS À LA PÊCHE EXPORTATION,True
MANJONONA ANATY RANOMASINA,6,POISSON DANS LA MER,True
MIVAROTRA AMORONDALANA,6,VENDRE AUTOUR,True
MAç0N,6,MAç0N,True
MPAMBOATRA TRANO,6,CONSTRUCTEUR DE MAISON,True
MAMBOLY LOJO,6,PLANTATION DE LOJO,True
MIVAROTRA CD,6,VENDRE des CD,True
ANNIMATEUR,6,ANIMATEUR,True
ENSEIGNANTE,6,PROFESSEUR,True
Manao sarakantsaha(miava baibo),6,Faire un sarakantasa,True
MANAO SARAKANTSAHY,6,FAIRE UN DESSIN,True
MIOMPY AKOHO AMAM-BORONA,6,Élever du poulet avec de la volaille,True
NIASA MANGAHAZO,6,TRAVAILLÉ POUR L'OBTENIR,True
MIKARAKARA HARICOT VERT,6,RECHERCHE HARICOT VERT,True
SECURITER,6,SÉCURITÉ,True
CARRELAGE,6,CARRELAGE,True
MANJONO HAZAN-DRANOMASINA,6,POISSON DE MER,True
CHAUFFEUR NA CAMION @ ORINASA,6,CHAUFFEUR OU CAMION @ ENTREPRISE,True
MANAMBOATRA RHUM ARANGE,6,FAIRE DU RHUM À L'ORANGE,True
"NAMBOLY VARY,KATSAKA,VOMANGA,MANGAHAZO,SAONJO",6,"J'AI PLANTÉ DU RIZ, DU MAÏS, DES POMMES DE TERRE, DES MANGAGAHAS, SAONJO",True
"NAMBOLY VARY,KATSAKAnVOMANGA,MANGAHAZO,SAONJO",6,"J'AI PLANTÉ DU RIZ, DU MAÏS, DES POMMES DE TERRE, DU MANGAHA, DU SAONJO",True
MITARIKA CYCLOPOUSSE,6,CONDUIRE UN CYCLOPOUSSE,True
MPAMBOLY VARY/VOANJO/TSARAMASO/MANGAHAZO,6,PRODUCTEUR DE RIZ/MAÏS/SUCRE/CULTURE,True
MAMPIHADY SAPHIRE,6,A VENDRE SAPHIR,True
MANIVANA VATO,6,PIERRES FILTRANTES,True
MIHADY VATOSOA,6,Creusez des pierres précieuses,True
DEMARCEUR VIANDE DE BOEUF,6,VIANDE DE BŒUF DEMARCEUR,True
JARDINNIER,6,JARDINIER,True
SECRETAIRE COMMUNE,6,SECRÉTAIRE COMMUNAUTAIRE,True
VOLY LA VANILLE,6,PLANTE DE VANILLE,True
MAMBOLY SY MIVAROTRA KATTY,6,CULTURE ET VENTE DE KATTY,True
MPANDRARY HARONA SY TSIHY,6,FABRICANTS DE PANIERS ET DE TAPIS,True
MPANAO SY MPIVAROTRA MOFO SY DITE,6,FABRICANTS ET REVENDEURS DE BOULANGERIE ET ​​DE THÉ,True
PANJAITRA LAMBA,6,AIGUILLE À TISSU,True
GARDIEN CEG,6,GARDIEN DU CEG,True
BISNESS SAPHIR,6,AFFAIRES SAPHIR,True
COMMERCIALE,6,COMMERCIAL,True
MPIVAROTRA EPI-BAR,6,REVENDEUR EPI-BAR,True
MANAO MOFOGASY,6,FAIRE DES MUGAS,True
FIVAROTANA TONGOLO,6,BOUTIQUE TONGOLO,True
SERVEUSE GARGOTTE,6,SERVEUSE GARGOTTE,True
"MAMBOLY VARY,VOANJO,KATSAKA",6,"CULTURE DU RIZ, DU MAÏS, DU MAÏS",True
"MAMBOLY VARY,VOANJO ,KATSAKA",6,"CULTURE DU RIZ, DU MAÏS, DU MAÏS",True
SARAN KATSAHA,6,SARAN KATSAHA,True
MAMBOLY VOATANGO,6,PLANTATION DE POMMES DE TERRE,True
MAMPIANATRA µ,6,ENSEIGNER µ,True
FAMBOLENA VARY SY MANGAHAZO,6,CULTURE DU RIZ ET DE LA VIANDE,True
REGISSEUR,6,DIRECTEUR,True
MPANAMPY FIANAKAVIANA MAMBOLY VARY SY ANANA,6,AIDE FAMILIALE PLANTANT DU RIZ ET DES LÉGUMES,True
VETERINAIRE,6,VÉTÉRINAIRE,True
MPANEFY VI,6,ROSE NOIRE VI,True
MPANERA HUILE ESSENTIEL DE JIROFLE,6,SPOILER HUILE ESSENTIELLE DE CERISE,True
MANAO SARAKATRAHA,6,FAIRE LE SARAKATRAHA,True
GUIDE,6,GUIDE,True
MANAPAKY HAZO,6,COUPE DU BOIS,True
MIVAROTRA TAOVANKENA,6,VENTE D'ORGANES,True
MPIVARTRA VATOSOA,6,REVENDEUR DE GEMMES,True
Mivarotra PPN sy LAMBAHOANY,6,Vente de PPN et de VÊTEMENTS,True
CHAUFEUR CAMION BELO-ANTSIRARAKY,6,CHAUFFEUR DE CAMION BELO-ANTSIRAKY,True
TRANSPORTEUR,6,TRANSPORTEUR,True
MIKARAMA MANANGONA PRODUITS LOCAUX,6,LOCATION POUR COLLECTER LES PRODUITS LOCAUX,True
MPITATITRA ANDRANOMAMY,6,JOURNALISTE ANDRANOMAMIE,True
CHAUFEUER,6,CONDUCTEUR,True
TRIAGE LA VANILLE,6,TRIAGE VANILLE,True
MPAJONO ANDRANOMASINA,6,PÊCHEUR EN MER,True
"MPAMBOLY VARY,KATSAKA,MANGAHAZO,VOANJO",6,"PRODUCTEUR DE RIZ, MAÏS, LÉGUMES, MAÏS",True
FEMME DEMENAGE,6,DÉMENAGE FÉMININE,True
MIVAROTRA VARY SY VAOMAINA,6,VENDRE DU RIZ ET DES CÉRÉALES,True
IRAKIRAKA MIBATA ENTANA,6,MESSAGER D'EXPÉDITION,True
MIASA ANTRANO AMIN OLONA,6,TRAVAILLER POUR AIDER LES GENS,True
MITOTO VARY AMINY MACHINE,6,MOULER LE RIZ AVEC UNE MACHINE,True
PANDRAFITRA FANAKA,6,CONCEPTEUR DE MEUBLES,True
MPAMBOLY ZANAKAZO,6,PRODUCTEUR POUR ENFANTS,True
MPISA ATRANO,6,COMPTEUR COMPTEUR,True
MIVAROTRA VARY MASAKA,6,VENDRE DU RIZ CUIT,True
"NAMBOLY VARY,OVY,MANGAHAZO,PARAKY,MANGAHAZO,KATSAK",6,"CULTURE DU RIZ, POMMES DE TERRE, MANGAHA, TABAC, MANGAHA, KATSAK",True
MANAMBOATRA KOFAFA,6,FAIRE DU PAIN,True
DODOME,6,DODÔME,True
PRESIDENT N FOKOTANY,6,PRÉSIDENT N FOKOTANY,True
MPIVAROTRA VOAMAIGNA,6,REVENDEUR DE MARCHANDISES,True
MIVAROTRA ATODY SY VORONA,6,VENDRE DES OEUFS ET DE LA VOLAILLE,True
ENVIRONNEMENTALISTE,6,ENVIRONNEMENTALISTE,True
mpamboly,6,fermier,True
CONDUCTEUR D'ELEVATEUR POUR CONTENEUR,6,CONDUCTEUR D'ASCENSEUR POUR CONTENEURS,True
MIADY VATO,6,COMBATTRE LES PIERRES,True
MARKETING PUBLICITAIRE,6,PUBLICITÉ MARKETING,True
MPIVAROTRA FRUIT DE MER MAINA,6,VENDEUR DE FRUITS DE MER SECS,True
MIVAROTRA PRODUIT COSMETIQUE,6,VENDRE DES PRODUITS COSMÉTIQUES,True
"MAMBOLY VARY,OVY,VOMANGA",6,"PLANT DU RIZ, DES POMMES DE TERRE, DES POMMES DE TERRE",True
"NAMBOLY VARY,OVY,VOMANGA",6,"RIZ PLANTÉ, POMMES DE TERRE, POMMES DE TERRE",True
"MAMBOLY VARY,VOMANGA,KATSAKA",6,"CULTURE DU RIZ, DES POMMES DE TERRE, DU MAÏS",True
MANAO MANOEUVRE,6,FAIRE DES MANŒUVRES,True
SERVEUSE @ GARGOTTE,6,SERVEUR @ GARGOTTE,True
MIKAPOBATO,6,MIKAPOBATO,True
MITARIKA SARETY TANANA,6,CONDUIRE UN CHARIOT À MAIN,True
MAKA RANON'OLONA,6,OBTENEZ DE L'EAU HUMAINE,True
MANAO RARY,6,C'EST DOULOUREUX,True
MANDRAFITRA HAZO,6,SCULPTURE DU BOIS,True
MAMPIANATRA @ AMBARATONGA FOTOTRA,6,ENSEIGNEMENT @ AMBARATONGA FONDAMENTAUX,True
"MAMBOLY VARY,FARY",6,"CULTURE DU RIZ, DU SUCRE",True
FANARATOANA FIAN -DRANOMASINA,6,PÊCHE EN MER,True
MPANOFY VOAMADILO,6,UN RÊVEUR,True
MPANERA KISOA,6,BEURRE DE PORC,True
MPITRANDRKA VOLAMENA,6,MINEUR D'OR,True
DIRECTEUR,6,DIRECTEUR,True
MAMBOLY CAFE,6,CULTURE DU CAFÉ,True
SARAKANTSAHA NANETSA VARY,6,RIZ SARKANTASA SALÉ,True
SARAKANTSAHA NIASA TANIM BARY,6,SARAKANTSAHA A TRAVAILLÉ DANS LES CHAMPS DE VIGNE,True
MANAMBOATRA VOVO FAMANDRIANA TRONDRO,6,FABRICATION DE POUDRE DE POISSON,True
MPANAO ASA TSELIKA,6,TRADITIONNEUR,True
FAMBOLENA MADINIKA (ovy),6,PETITE AGRICULTURE (pommes de terre),True
fambolena madinika (ovy),6,petite culture (pommes de terre),True
MPIVAROTRA TARETRA,6,REVENDEUR COMMERCIAL,True
MPITAONA ENTANA,6,CHARGEUR,True
KARIERA,6,CARRIÈRE,True
NANAPA-BARY,6,COUPER LE BLÉ,True
"MAMBOLY VARY, KATSAKA",6,"PLANT DU RIZ, DU MAÏS",True
MPIVAROTRA SAKAFO MANTA,6,REVENDEURS DE PRODUITS CRUS,True
PATISSIERE,6,PÂTISSIÈRE,True
MIKARAMA MANAMPY AN'IZY MIVADY AMIN'NY FIVAROTANA,6,SE FAIRE ENGAGER POUR L'AIDER À SE MARIER EN SHOPPING,True
MPIASA BIRAO AO @ CISCO BESALAMPY,6,EMPLOYÉ DE BUREAU @ CISCO BESALAMPY,True
MANADIO,6,NETTOYER,True
MAMPIANATRA COURS,6,COURS D'ENSEIGNEMENT,True
MPANEFY ANGADY,6,UN FRÈRE DE CHARRUE,True
MAMBOLY YLANG YLANG,6,PLANTE D'YLANG-YLANG,True
MANOEUVRE FANAMBOARANA TRANO,6,MANŒUVRE DE CONSTRUCTION DE MAISON,True
MPAMILY CAMION,6,CHAUFFEUR DE CAMION,True
MANAMBOTRA TRANO maçon,6,CONSTRUIRE UNE MAISON EN MAÇONNERIE,True
"MAMBOLY TSAKO,BELE,BALAHAZO",6,"CULTURE DE LÉGUMES, LÉGUMES, BALAHAZO",True
MAMBOLY POIVRE,6,POIVRE PLANT,True
ANIMATRICE @CROIX ROUGE,6,ANIMATRICE @CROIX ROUGE,True
MPIVAROTRA VY BROKATERA,6,COURTAGE DE REVENDEURS DE FER,True
MITRANDRAKA VATOSOA,6,Exploitation minière de pierres précieuses,True
MIVAROTRA VOTABIA,6,VENDRE ÉPICERIE,True
MAKA FOZA ORANA TRONDRO PIRINA,6,OBTENIR DU POISSON PIRINA CRABE DE PLUIE,True
MIVAROTRA RANONA CAFE,6,VENDRE DE L'EAU DE CAFÉ,True
MPANAO TRILLAGE FIBRE DE SISAL,6,FABRICANT DE TRILLAGE EN FIBRE DE SISAL,True
MIVAROTRA HANIMASAKA SY LEGUME,6,VENTE DE POISSON ET LÉGUMES,True
CHAUFFEUR CITERNE,6,CONDUCTEUR DE RÉSERVOIR,True
VAROTRA HANIMASAKA SY LEGUME,6,COMMERCE DE FRAIS ET LÉGUMES,True
MPIASA TANY,6,TRAVAILLEURS TERRAINS,True
MANJAITRA ANKAJO,6,COUDRE À DROITE,True
MPANAPY ATOKATRANO,6,CHAUFFAGE INTÉRIEUR,True
MANAO SARAKA AN-TSAHA,6,SÉPARATION DE CHAMP,True
MIKARAMA MIVARO-KENA,6,embaucher un boucher,True
MIVAROTRA PASTEQUE,6,VENDRE DES Pastèques,True
MIVAROTRA ZAVA PISOTRO,6,VENDRE DES PRODUITS POUR PISTOLETS,True
RARY,6,RARY,True
MPANERA VY,6,FONDATEUR DE FER,True
MANEFY FATAPERA,6,FIXER UNE LIMITE,True
CAHUFFEUR TAXI BROUSSE,6,CAHUFFEUR TAXI BRUSSE,True
MPIVAROTRA FANAKA,6,REVENDEUR DE MEUBLES,True
MPANAO VOLAMENA,6,FABRICANT D'OR,True
SEFO FOKONTANY,6,CHEF DE VILLAGE,True
MPIVAROTRA SAKAFO MASAKA @ GARGOTTE,6,VENDEUR DE PRODUITS CUISINÉS @ GARGOTTE,True
MPANAO YAOURT,6,Yaourtière,True
MANDIO SIRA,6,SEL DE NETTOYAGE,True
MANADIO SIRA,6,SEL NETTOYANT,True
MIVARITRA LETCHIS,6,VENDRE DES LETCHIS,True
SURVELLANT GENERALE,6,SUPERVISEUR GÉNÉRAL,True
MITSIMPONA LOJY ANY AMIN NY ENTREPRISE,6,RÉCUPÉRER LES JOURNAUX DE L'ENTREPRISE,True
MPAPIANATRA LYCEE TECHNIQUE,6,ENSEIGNANTE AU LYCEE TECHNIQUE,True
MIVAROTRA ZANANKAZO,6,VENDRE DES ENFANTS,True
MANAMBOATRA PARPAINS,6,FABRICATION DE PARPAINS,True
MITSIMPONA RAVINA GIROFLE,6,COLLECTION DE FEUILLES DE PETITE AMIE,True
MITONDRA SARETY,6,CONDUIRE UN WAGON,True
MPAMAKY VATOKELY,6,UN LIVRE DU LECTEUR,True
DOMESTIQUES,6,DOMESTIQUE,True
MARKETING,6,COMMERCIALISATION,True
MPANAPY,6,CHAUFFAGES,True
MANAO SARAKANTSA,6,FAIRE DU PLAISIR,True
MIANDRY FONJA,6,ATTENDRE EN PRISON,True
MANAMPY AMIN'NY FANAOVANA SARAKA ANTSAHA,6,AIDE AVEC DES PRATIQUES SÉPARÉES,True
MANAMPY MANAO SARAKA ANTSAHA,6,AIDER À SÉPARER LA MOITIÉ,True
GARDIEN TRANOMBAROTRA,6,GARDIEN TRANOMBAROTRA,True
FAMBOLENA SY FIVAROTANA LA VANILLE,6,AGRICULTURE ET COMMERCE LA VANILLE,True
ASA ABDRO,6,TRAVAIL ABDRO,True
MPIVAROTRA RAVINDRAKETA,6,Marchand de disques,True
MIVAROTRA RAVINDRAKETA,6,VENDRE DES DOSSIERS,True
PRODUCTION PEPINIERE JIROFO,6,PRODUCTION EN PÉPINIÈRE,True
MANAMPY NY VADINY MIVAROTRA VOAMAINA,6,IL AIDE SA FEMME À VENDRE DES GRAINS,True
PÖLISY,6,POLICE,True
EXPLOITANT ET VENDEUR D'OR,6,EXPLOITANT ET VENDEUR D'OR,True
MPAMBOLY VOATABIA,6,PRODUCTEUR DE TOMATES,True
MACON MIASA AMIN OLONTSOTRA,6,MACON TRAVAILLE AVEC LES GENS,True
MANOEUVRE MAMANPY NY DADANY,6,MANOEUVRE AIDE SON PÈRE,True
"MAMBOLY VARY,CITRON",6,"CULTURE DU RIZ, DES CITRONS",True
MPIHAZA,6,CHASSEUR,True
MANOEUVRE DE CHANTIER,6,MANŒUVRE DE CHANTIER,True
MAMATOTRA ENTANA,6,CONDITIONNEMENT,True
MITARIKA POUSSY,6,Mener une poussée,True
MIVAROTRA ANANA ANY ATSENA,6,VENDRE DES LÉGUMES AU MARCHÉ,True
MIVAROTRA ANANA ANY ANTSENA,6,VENDRE DES LÉGUMES AU MARCHÉ,True
MANAMBOATRA TRANO maçon,6,CONSTRUIRE UNE MAISON EN MAÇONNERIE,True
MPIVAROTRA DIVAY SY TOAKA,6,REVENDEURS DE VIN ET ALCOOLS,True
MANAMPY FIANAKAVIANA AMIN FAMBOLENA,6,AIDER LES FAMILLES À FAMBING,True
MANATITRA ZAZA ANY ANTSEKOLY AMINNY BICYCLETTE,6,METTRE LES ENFANTS À L'ÉCOLE À VÉLO,True
MPAMBOLY SY MPIOMPY MADINIKA,6,AGRICULTEURS ET PETITS ÉLEVEURS,True
MIVAROTRA MOFO GASY SY DITé,6,VENDRE DU PAIN ET DU THÉ AU GAZ,True
MPAMBOTRA TRANO,6,CONSTRUCTEUR DE MAISON,True
MIKARAMA MANAO CANAL NY VARY,6,LOCATION DE CANAUX DE RIZ,True
MIADY CANAL,6,CANAL DE COMBAT,True
FIVAROTANA BROCANTEUR,6,BOUTIQUE BROCANTEUR,True
ZAITRA,6,COUTURE,True
MARIN,6,MARIN,True
MAMBOATRA SY MIVAROTRA CHARBON,6,FABRICATION ET VENTE DE CHARBON,True
MILITAIRE,6,MILITAIRE,True
MPANAMBOATRA BISCUIT GASY,6,FABRICANT DE BISCUITS AU GAZ,True
MIVAROTRA FILAO,6,VENDRE FILAO,True
MANAMBOATRA BISCUIT GASY,6,FABRICATION DE BISCUITS AU GAZ,True
MAMBOLY SAKAY,6,PLANTATION DE CHIPPIES,True
MAMBOLY LEGUME SY VARY,6,PLANTEZ DES LÉGUMES ET DU RIZ,True
MAKA SARY,6,PRENDRE UNE PHOTO,True
PROSTITUE,6,PROSTITUER,True
PROSTITUER,6,PROSTITUER,True
MIVAROTRA PRODUITS COSMETIQUES,6,VENDRE DES PRODUITS COSMÉTIQUES,True
CHEF FOKOTANY,6,CHEF FOKOTANY,True
MIOMPY POULET DE CHAIR SY AKOHO GASY,6,POULET SUR CHAISE DE RACE ET POULET À GAZ,True
MPIVAROTRA ENTA MADINIKA AMIN NY EPICERIE,6,VENDEUR DE PRODUITS AU DÉTAIL DANS LE MAGASIN EPIC,True
MIARAMILA (MONITEUR PARACHUTISTE),6,MILITAIRE (MONITEUR PARACHUTISTE),True
AUDITEUR,6,AUDITEUR,True
MANAO CAFE SY MOFO ARY LASOPY SY COMPOSE,6,"FAIRE DU CAFÉ, DU PAIN ET DE LA SOUPE ET COMPOSER",True
MPANAMBOATRA TRANO maçon,6,CONSTRUCTEURS MAÇONS,True
GREFFIER,6,REGISTRE,True
MIAMBINA LAKORO,6,GARDER LA ROUTE,True
MIKARAMA MANAO VATO ENY @CARRIERE,6,EMBAUCHE POUR FAIRE DE LA PIERRE CHEZ @CARRIERE,True
MIASA VATO @ CARRIERE,6,TRAVAIL DE LA PIERRE @ CARRIÈRE,True
MATSAKAN OLONA,6,OBTENEZ DES PERSONNES,True
MANAO BRICOLAGE,6,FAIRE DU BRICOLAGE,True
KIBARO,6,KIBARO,True
MPANAO CONFECTION,6,CONFISEUR,True
REPARATEUR ELECTRONIQUE,6,RÉPARATION ÉLECTRONIQUE,True
VAROTRA PPN,6,VENTES DE PPN,True
MANAMPY MANASA LAMBA,6,AIDE À LAVER LES VÊTEMENTS,True
DOCEURE,6,MÉDECIN,True
CHAFFEUR,6,CHAFEUR,True
MPAMBOLY VOAMANGA,6,FERMIER DE MANGAS,True
MAMBOLY VARY MANGAHAZO LEGUMES,6,PLANTATION DE LÉGUMES POUR LA CULTURE DU RIZ,True
INGENIEUR INFORMATIQUE,6,INGÉNIEUR INFORMATIQUE,True
AGENCE DE CONSEIL DE LA SANTE,6,AGENCE CONSEIL DE SANTÉ,True
MPANJAHITRA,6,PÊCHEUR,True
MIVAROTRA VOMANGA SY MANGAHAZO ARY TSARAMASO,6,"VENDRE POMMES DE TERRE, MANGAGES ET SUCRE",True
MANAMBOATRA SY MIVAROTRA TOKA,6,FABRIQUER ET VENDRE UNIQUEMENT,True
MIVAROTRA BOISSON,6,VENDRE DES BOISSONS,True
RECEVEUR BUS,6,RÉCEPTEUR D'AUTOBUS,True
MANAO TOAKA,6,BOIRE DE L'ALCOOL,True
MPAMPIANANTRA,6,PROFESSEUR,True
MANEUVRE MACON,6,MANŒUVRE DE MACON,True
MANAMBOTRA FROMAGE,6,RAMASSER LE FROMAGE,True
MIANDRY CACAO,6,EN ATTENDANT LE CACAO,True
GARDIEN (COLLEGE PRIVE),6,GARDIEN (COLLÈGE PRIVÉ),True
